,Experiment,DataUse,Replication,Month,Vegetation,Year,N_rate,PP2,PP7,AirT,DAF_TD,DAF_SD,WFPS25cm,NH4,NO3,Clay,Sand,SOM
0,BCSE_KBS,Building,R1,February,Corn,-0.02028734711094729,0.48105603672270186,-0.9548399884824798,-1.662025221158632,-1.5085614117742416,0.7015507671166517,0.4670355717710654,0.7886685793270504,0.4038988620540166,0.2774794482755999,-0.9910379121449165,0.851278284826554,-0.8169319458772671
1,BCSE_KBS,Building,R1,February,Corn,-0.02028734711094729,0.48105603672270186,-0.9548399884824798,-1.662025221158632,-1.5408353735235438,0.7067639797037969,0.472773395478734,0.6107065296430713,0.39896205285206854,0.27844779920401896,-0.9910379121449165,0.851278284826554,-0.8169319458772671
2,BCSE_KBS,Building,R1,February,Corn,-0.02028734711094729,0.48105603672270186,0.7013700337353906,-0.16555492997566973,-1.3128427823025648,0.7480763603471169,0.5182368616881097,1.2302606498287343,0.37593641969990793,0.29191205466455744,-0.9910379121449165,0.851278284826554,-0.8169319458772671
3,BCSE_KBS,Building,R1,February,Corn,-0.02028734711094729,0.48105603672270186,-0.9548399884824798,-0.20798626615679117,-1.6514732671683923,0.7531921589587793,0.5238660225395494,0.9318082269706073,0.3783215509158809,0.2944652915608785,-0.9910379121449165,0.851278284826554,-0.8169319458772671
4,BCSE_KBS,Building,R1,March,Corn,-0.02028734711094729,0.48105603672270186,0.004097507874445937,-0.1861114586603548,0.5377134071545002,0.8826704080362493,0.6663093627066266,1.143135467340576,0.2904944959364709,0.3412782495458364,-0.9910379121449165,0.851278284826554,-0.8169319458772671
5,BCSE_KBS,Building,R1,March,Corn,-0.02028734711094729,0.48105603672270186,0.004097507874445937,-0.1861114586603548,0.7098198508815203,0.887521040474962,0.671645260910967,1.0741643767470712,0.2761070792156172,0.350520162809593,-0.9910379121449165,0.851278284826554,-0.8169319458772671
6,BCSE_KBS,Building,R1,March,Corn,-0.02028734711094729,0.48105603672270186,-0.9548399884824798,1.0025727415744727,-1.131860099223845,0.949765648296511,0.7401190436233168,1.1315674246357714,0.19185681870899188,0.39552293332678157,-0.9910379121449165,0.851278284826554,-0.8169319458772671
7,BCSE_KBS,Building,R1,March,Corn,-0.02028734711094729,0.48105603672270186,1.0500039507024068,-0.29922894610797646,-1.0221734156415063,0.9544926439004929,0.7453193836185764,1.1078671210647904,0.1945511810478849,0.3982674263503887,-0.9910379121449165,0.851278284826554,-0.8169319458772671
8,BCSE_KBS,Building,R1,April,Corn,-0.02028734711094729,0.48105603672270186,1.7261070166549932,1.341548786612136,-0.658929742144219,1.0335822316644991,0.8323397958541018,1.2157232710782968,0.1449350994537267,0.4272128543167674,-0.9910379121449165,0.851278284826554,-0.8169319458772671
9,BCSE_KBS,Building,R1,April,Corn,-0.02028734711094729,0.48105603672270186,0.4858952878460368,1.3810248478373635,-0.23709626640888865,1.0472984147203719,0.8474341260761905,1.1576024433904788,0.1629925140525078,0.42544158265226817,-0.9910379121449165,0.851278284826554,-0.8169319458772671
10,BCSE_KBS,Building,R1,May,Corn,-0.02028734711094729,0.48105603672270186,0.744620744582763,0.798978087009823,0.14089407091175715,1.1148523889355815,0.921791507747557,1.6327744977689909,0.09036264088016412,0.46875654375997394,-0.9910379121449165,0.851278284826554,-0.8169319458772671
11,BCSE_KBS,Building,R1,May,Corn,-0.02028734711094729,0.48105603672270186,0.13107416526637683,0.6354825274491721,0.2535418699875802,1.1192968360863158,0.926684600536674,1.5511076359300553,0.07462059404758219,0.47279994492619787,-0.9910379121449165,0.851278284826554,-0.8169319458772671
12,BCSE_KBS,Building,R1,May,Corn,-0.02028734711094729,0.48105603672270186,-0.9548399884824798,0.5586398624651434,0.07360788661882713,1.1237340731756846,0.931569896340692,1.5890820558884082,0.07345262503652045,0.4780835433801783,-0.9910379121449165,0.851278284826554,-0.8169319458772671
13,BCSE_KBS,Building,R1,May,Corn,-0.02028734711094729,0.48105603672270186,0.4131678526638583,-0.39967827687644214,0.08480601290169838,1.1281641316059503,0.9364474311547762,1.236014799252346,0.25993862408958285,0.5366047664404571,-0.9910379121449165,0.851278284826554,-0.8169319458772671
14,BCSE_KBS,Building,R1,May,Corn,-0.02028734711094729,0.48105603672270186,0.4131678526638583,-0.39967827687644214,-0.02687354738708648,-2.362424515791867,0.9413172406997591,0.8911353786841433,0.39152582973807737,0.5802961700398784,-0.9910379121449165,0.851278284826554,-0.8169319458772671
15,BCSE_KBS,Building,R1,May,Corn,-0.02028734711094729,0.48105603672270186,0.13107416526637683,-0.7602239755854121,0.24224956290159125,-2.0956007843833024,0.9607199311655386,1.2562773491684411,0.8223364084422037,0.7524624493674236,-0.9910379121449165,0.851278284826554,-0.8169319458772671
16,BCSE_KBS,Building,R1,May,Corn,-0.02028734711094729,0.48105603672270186,-0.9548399884824798,-1.1805223815264227,0.5262806995244235,-1.888193177131985,0.9848036513162328,0.7424891691331152,1.1140377786297355,0.9406672854667467,-0.9910379121449165,0.851278284826554,-0.8169319458772671
17,BCSE_KBS,Building,R1,May,Corn,-0.02028734711094729,0.48105603672270186,-0.9548399884824798,-0.6462869870386494,1.1505916093930026,-1.5785791873931416,1.0371438245436635,0.4847579838871521,0.8056686888474917,1.086362544917802,-0.9910379121449165,0.851278284826554,-0.8169319458772671
18,BCSE_KBS,Building,R1,May,Corn,-0.02028734711094729,0.48105603672270186,-0.9548399884824798,-0.6462869870386494,0.27614441601239204,-1.5555675266310354,1.0418591984337215,0.43882540074757426,0.7655043456615269,1.0727398026836386,-0.9910379121449165,0.851278284826554,-0.8169319458772671
19,BCSE_KBS,Building,R1,May,Corn,-0.02028734711094729,0.48105603672270186,-0.9548399884824798,-0.6462869870386494,-0.3138378395476896,-1.5331398513071117,1.0465675690031981,0.43820982280828863,0.7693670133733103,1.0555295094302153,-0.9910379121449165,0.851278284826554,-0.8169319458772671
20,BCSE_KBS,Building,R1,June,Corn,-0.02028734711094729,0.48105603672270186,-0.9548399884824798,0.9124953735580845,0.5262806995244235,-1.4485594569044968,1.0653316176918826,0.9782804653571,0.6637090395504425,1.0058640537012844,-0.9910379121449165,0.851278284826554,-0.8169319458772671
21,BCSE_KBS,Building,R1,June,Corn,-0.02028734711094729,0.48105603672270186,-0.9548399884824798,0.9124953735580845,0.2648401656312946,-1.4285486923873119,1.0700054195187867,0.8645489154067979,0.622685520984573,0.9870441217414112,-0.9910379121449165,0.851278284826554,-0.8169319458772671
22,BCSE_KBS,Building,R1,June,Corn,-0.02028734711094729,0.48105603672270186,-0.9548399884824798,0.9124953735580845,0.4577961313857289,-1.4089416967431274,1.0746723956992,0.8008977219949863,0.561108966098051,0.9680680214121653,-0.9910379121449165,0.851278284826554,-0.8169319458772671
23,BCSE_KBS,Building,R1,June,Corn,-0.02028734711094729,0.48105603672270186,-0.9548399884824798,0.9124953735580845,0.69831100683644,-1.3897172586308695,1.079332575120045,0.7706392985387794,0.49257882564558353,0.9464663968933769,-0.9910379121449165,0.851278284826554,-0.8169319458772671
24,BCSE_KBS,Building,R1,June,Corn,-0.02028734711094729,0.48105603672270186,-0.9548399884824798,0.39689233812120384,0.7328521823857714,-1.3708559236056959,1.083985986466366,0.6676497903837771,0.41507280680739456,0.918922536294407,-0.9910379121449165,0.851278284826554,-0.8169319458772671
25,BCSE_KBS,Building,R1,June,Corn,-0.02028734711094729,0.48105603672270186,-0.9548399884824798,-1.662025221158632,1.2324718299997963,-1.3523397986600083,1.088632658223295,0.5976908470482065,0.3164063787836899,0.8871654848409062,-0.9910379121449165,0.851278284826554,-0.8169319458772671
26,BCSE_KBS,Building,R1,June,Corn,-0.02028734711094729,0.48105603672270186,-0.9548399884824798,-1.662025221158632,1.2559029825361894,-1.3341523837327147,1.0932726186779949,0.498719852718179,0.1478211333631506,0.8142085332482505,-0.9910379121449165,0.851278284826554,-0.8169319458772671
27,BCSE_KBS,Building,R1,June,Corn,-0.02028734711094729,0.48105603672270186,-0.9548399884824798,-1.662025221158632,1.2441853819186142,-1.316278425787123,-2.242111781727344,0.6438663432608142,0.7735275874333597,0.9496054061201687,-0.9910379121449165,0.851278284826554,-0.8169319458772671
28,BCSE_KBS,Building,R1,June,Corn,-0.02028734711094729,0.48105603672270186,-0.9548399884824798,-1.662025221158632,0.7674369591967635,-1.2987037918800497,-2.1581152293382844,0.6101678542452637,1.0108535248112995,0.9886240426211926,-0.9910379121449165,0.851278284826554,-0.8169319458772671
29,BCSE_KBS,Building,R1,June,Corn,-0.02028734711094729,0.48105603672270186,-0.9548399884824798,-1.662025221158632,0.3100925632949532,-1.281415358294864,-2.0945097725672053,0.5441312587360599,1.1894911697533233,1.0289867474613532,-0.9910379121449165,0.851278284826554,-0.8169319458772671
30,BCSE_KBS,Building,R1,June,Corn,-0.02028734711094729,0.48105603672270186,-0.9548399884824798,-1.662025221158632,0.7213335834445349,-1.2644009133288578,-2.04134001869819,0.5057184339646589,1.3538972577254165,1.0994387718769498,-0.9910379121449165,0.851278284826554,-0.8169319458772671
31,BCSE_KBS,Building,R1,June,Corn,-0.02028734711094729,0.48105603672270186,-0.9548399884824798,-1.662025221158632,1.115562359754571,-1.2476490717403306,-1.9947891978931935,0.43009802807979375,1.4868907761944745,1.1864238121196704,-0.9910379121449165,0.851278284826554,-0.8169319458772671
32,BCSE_KBS,Building,R1,June,Corn,-0.02028734711094729,0.48105603672270186,-0.9548399884824798,-1.662025221158632,1.326292780547153,-1.2311491991955401,-1.9529132868735446,0.351534572118585,1.593560517869971,1.2833694771138249,-0.9910379121449165,0.851278284826554,-0.8169319458772671
33,BCSE_KBS,Building,R1,June,Corn,-0.02028734711094729,0.48105603672270186,-0.15645050037311392,-1.3366226967953874,1.092230604550143,-1.214891345327328,-1.9145635304318858,0.2605199081423028,1.6768748975158099,1.3113869923285735,-0.9910379121449165,0.851278284826554,-0.8169319458772671
34,BCSE_KBS,Building,R1,June,Corn,-0.02028734711094729,0.48105603672270186,0.41614078403937355,-0.8448506223373954,1.8585495460333687,-1.1830649614683062,-1.8456909200791438,0.17196873638369398,1.7693333051547577,1.444384436341964,-0.9910379121449165,0.851278284826554,-0.8169319458772671
35,BCSE_KBS,Building,R1,June,Corn,-0.02028734711094729,0.48105603672270186,0.004097507874445937,-0.8448506223373954,1.7277673080216944,-1.1674794465784328,-1.814277940761104,0.03860276630318002,1.8344212893444933,1.5665113021828727,-0.9910379121449165,0.851278284826554,-0.8169319458772671
36,BCSE_KBS,Building,R1,June,Corn,-0.02028734711094729,0.48105603672270186,0.23821518239957276,-0.6106227664019396,0.9062006914477736,-1.13692498816072,-1.7560604521740097,-0.1638780172764732,1.9788516721558214,1.6961845624154028,-0.9910379121449165,0.851278284826554,-0.8169319458772671
37,BCSE_KBS,Building,R1,June,Corn,-0.02028734711094729,0.48105603672270186,0.23821518239957276,-0.6106227664019396,0.9177943032021768,-1.121941842457504,-1.7288642678908193,-0.24374170693283495,2.008696045502501,1.7567572232633124,-0.9910379121449165,0.851278284826554,-0.8169319458772671
38,BCSE_KBS,Building,R1,June,Corn,-0.02028734711094729,0.48105603672270186,-0.9548399884824798,-0.7194576569462136,1.2324718299997963,-1.1071459348288,-1.702745158163749,-0.34715623435139276,2.0157157606444422,1.822419018392413,-0.9910379121449165,0.851278284826554,-0.8169319458772671
39,BCSE_KBS,Building,R1,June,Corn,-0.02028734711094729,0.48105603672270186,-0.9548399884824798,-0.8926408918039915,0.7098198508815203,-1.0925310963350563,-1.6775877953248055,-0.44122867878746286,2.0317623462845287,1.8651487553579746,-0.9910379121449165,0.851278284826554,-0.8169319458772671
40,BCSE_KBS,Building,R1,June,Corn,-0.02028734711094729,0.48105603672270186,-0.9548399884824798,-1.1146152878155529,0.7443756257743789,-1.078091482335403,-1.6532959679894246,-0.47695148688271827,2.017957377945977,1.902777513236314,-0.9910379121449165,0.851278284826554,-0.8169319458772671
